timestamp,tweet_id,url,content,user_id,user_name,reply_count,retweet_count,like_count,bert_label,bert_positive,bert_neutral,bert_negative
2025-08-03 00:18:55+09:00,1951664014842646657,https://x.com/niwatori_koukai/status/1951664014842646657,広陵の初戦の対戦相手予想 ・市船橋 ・健大高崎 ・日大三 なんとなくだけど関東勢と当たりそうな気する,niwatori_koukai,ニワトリ@多趣味悪趣味,1.0,0.0,0.0,NEUTRAL,0.22801202535629272,0.6917134523391724,0.0802745446562767
2025-08-03 00:47:36+09:00,1951671229603319883,https://x.com/ys_tomutomu/status/1951671229603319883,広陵と佐賀北の試合は大逆転のドラマとは言いたくないんだよな・・球審と観客が酷すぎてドラマなんて言って美化してはいけない試合。広陵は立派だったよ。広島に入った野村と巨人・小林の名バッテリー ,,,0.0,0.0,0.0,POSITIVE,0.6949864029884338,0.2551991641521454,0.04981439933180809
2025-08-03 01:04:45+09:00,1951675547815465448,https://x.com/sakamo0623/status/1951675547815465448,歴史的大逆転録画で見てるけど  広陵対佐賀北が8位とは驚き！！,sakamo0623,寿君,1.0,0.0,0.0,NEUTRAL,0.45308759808540344,0.5315285325050354,0.015383785590529442
2025-08-03 01:36:00+09:00,1951683412248744371,https://x.com/kyutomiyamoto/status/1951683412248744371,広島カープ・野村祐輔の原点：2007年夏の甲子園決勝で広陵と「死闘」を演じた「佐賀北」高校ナインはいま｜非公式記録員　mmiyauchi ,,,0.0,0.0,0.0,NEUTRAL,0.4776591360569,0.5021251440048218,0.020215680822730064
2025-08-03 01:36:54+09:00,1951683636736241707,https://x.com/YONEMO777/status/1951683636736241707,2006年 智弁和歌山１３－１２帝京 2007年 佐賀北５－４広陵  実はこの2ゲーム現地観戦のワイ。 智辯和歌山-帝京の9回の攻防は凄まじかったし、 佐賀北-広陵の8回の攻撃は、甲子園の空気が佐賀北を猛烈に後押ししていた。  ただ、どっちも敗者側に不利なボール判定があったような… 特に球審〇さん…  x.com/oOO6ecFujx8199 …,YONEMO777,☆𝒀𝑶𝑵𝑬☆,1.0,0.0,3.0,NEUTRAL,0.026513410732150078,0.7236524820327759,0.24983415007591248
2025-08-03 03:28:47+09:00,1951711793744847202,https://x.com/urara390/status/1951711793744847202,これ以外だとこのへんかなあ、ダースが悲劇のヒーロすぎたな。  02年　玉野光南８ー7小山西 03年　岩国１２ー７広陵 06年　文星芸大附属１１ー１０関西 06年　日大山形１１ー１０今治西 11年　智弁学園９－４横浜 13年　仙台育英１１ー１０浦和学院 17年　明豊９－８神村学園 18年　済美１３ー１１星稜  x.com/oOO6ecFujx8199 …,urara390,urara,1.0,0.0,2.0,NEUTRAL,0.09495709091424942,0.8546057343482971,0.050437238067388535
2025-08-03 03:38:23+09:00,1951714210389590204,https://x.com/DelphineWh66973/status/1951714210389590204,↓ここ住みの男の人います？  高取町 上牧町 王寺町 広陵町 河合町 吉野町 大淀町 下市町 和歌山市,DelphineWh66973,なつり,0.0,0.0,0.0,NEUTRAL,0.07174408435821533,0.9132052063941956,0.015050653368234634
2025-08-03 03:40:53+09:00,1951714837802992052,https://x.com/norikitamashiro/status/1951714837802992052,明豊、広陵って注目されてないけど。 試合巧者なチームだけあって楽なチームではないよね。 前評判良くないけど。 こーゆうチームってスルスルくるからね！笑 勝ち方わかるチームだから。優勝戦線に食い込まなくても何かしらのアクションは起こしてくれるかと。覆してほしいなー。笑 マジで,norikitamashiro,たましろのりき,2.0,1.0,21.0,NEUTRAL,0.3317781984806061,0.6293858885765076,0.03883598744869232
2025-08-03 04:27:58+09:00,1951726686447472757,https://x.com/2vfpw/status/1951726686447472757,これは酷い。広陵高校応援してただけにショックです。  x.com/108takapi/stat …,2vfpw,地雷のパンツ@地雷パン,0.0,2.0,21.0,NEGATIVE,0.0020491646137088537,0.004432979971170425,0.9935178756713867
2025-08-03 06:32:58+09:00,1951758143693746277,https://x.com/ohayo_Nippon666/status/1951758143693746277,SNSで広陵高校の集団暴行いじめが話題になってますよ　,,,0.0,0.0,0.0,NEGATIVE,0.007708205841481686,0.2906442880630493,0.7016474604606628
